id_dataset,id_spotify,url_spotify_preview,artist,name,clean_tags
65fee96b950677e2c3b2afc43ff6df92,07xE01cjS7Iuh6oU6t2zln,https://p.scdn.co/mp3-preview/af0c42e6dacc0b8bb43c269ea2075c3de3ee2c7a?cid=774b29d4f13844c495f206cafdad9c86,Rage Against the Machine,Killing in the Name,metal rock
2c5134eeb835a9edda751d7517d8bb8f,2hmibAtdObO8F4tnhLENuQ,https://p.scdn.co/mp3-preview/8894d33d94ef1135ce87e0ac8058a6425e91e4c9?cid=774b29d4f13844c495f206cafdad9c86,The Strokes,Reptilia,rock
a9a3bfda08b8e855b6998e30440e189f,0FTZhIxKaX6HqJA0MvGR16,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=774b29d4f13844c495f206cafdad9c86,Foo Fighters,The Pretender,rock
98acdf0390a7f0726aa18fe3a5759116,00zc8cZrvXdEpMl9qKN9Ff,https://p.scdn.co/mp3-preview/909d312e596dbb3cd53ac8d1daf51e825566029d?cid=774b29d4f13844c495f206cafdad9c86,blink-182,All the Small Things,rock
d3e64ad7d4aac21ee329122bad1f56bd,07ygRsnqBqNFfdpmH3BeOV,https://p.scdn.co/mp3-preview/3678a4052d850a79de958169e147183492b5c479?cid=774b29d4f13844c495f206cafdad9c86,The Killers,All These Things That I've Done,rock
3ebb40a28248109a68bafa48cf68a9f0,04pRvt8HcPmmP6EeZoYMxa,https://p.scdn.co/mp3-preview/7e795b53f58d926a094c2f009f1d0db584dc8a3d?cid=774b29d4f13844c495f206cafdad9c86,R.E.M.,Losing My Religion,pop rock
c427903eeacec03cb2c75e2f0cd02ff7,01dw6mDc9xJMoEPasHaV7Y,https://p.scdn.co/mp3-preview/c3c74a5d2214f66307037df432d0ba2480e708fe?cid=774b29d4f13844c495f206cafdad9c86,Black Sabbath,Paranoid,metal rock
9088475921fd123ac5753e5df79d5fb5,0bAng0CKxaDaXiLDNca9cc,https://p.scdn.co/mp3-preview/b326e03624cb098d8387e17aa46669edac0d025a?cid=774b29d4f13844c495f206cafdad9c86,Muse,Time Is Running Out,rock
350cacf0a96a567f82a7db5dce7c4584,005lwxGU1tms6HGELIcUv9,https://p.scdn.co/mp3-preview/29414f20ba1659e9f54612e358d881861aa90c2d?cid=774b29d4f13844c495f206cafdad9c86,Katy Perry,I Kissed a Girl,pop rock edm
b154dcb244f4747b799ad4d72b170993,0DJU6KGwdkxEPCy3BZ3UZY,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,Pixies,Where Is My Mind?,rock
de84aaf1ea6dfa1b2c101173b5f3d5f1,0jLnevC3Vn34qVWrAa4X6x,https://p.scdn.co/mp3-preview/3debe861147de110f5e72e6badd5aaa63247f2d4?cid=774b29d4f13844c495f206cafdad9c86,The Verve,Bitter Sweet Symphony,pop rock
ac39e05032f545cba2d1c3d51da0f5da,0snQkGI5qnAmohLE7jTsTn,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=774b29d4f13844c495f206cafdad9c86,System of a Down,Toxicity,metal rock
bd258c637ecbf9156aa8e9ba4aa101ee,2WtF8X3W7iHPF2KaJGUCuO,https://p.scdn.co/mp3-preview/a66864fcfd8923c6084fc2000e3086e4e1e0a657?cid=774b29d4f13844c495f206cafdad9c86,Green Day,Basket Case,rock
c70d0975d68ba465cf4bd48cd218452c,0FMu3Z1yvTJKLWgxG6ZLS5,https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,Heart-Shaped Box,rock
db3a1d3271ea5a7b2aa6e74fd4314e95,1f2V8U1BiWaC9aJWmpOARe,https://p.scdn.co/mp3-preview/1b6ca5843bd21973cbb2c2410616dd10564e91da?cid=774b29d4f13844c495f206cafdad9c86,Red Hot Chili Peppers,By the Way,rock
79e61bcad008b332877e6fa2215154e2,05LxlxqXeHh8Chl0ro8KHQ,https://p.scdn.co/mp3-preview/3ec4d60fbf25011995a35e3b516f5b5ceaae1906?cid=774b29d4f13844c495f206cafdad9c86,Death Cab for Cutie,I Will Follow You Into The Dark,rock acoustic
dfdab5279b492b9d49450bf8562a77d1,03xdrZszrWGIMqyxByAiH5,https://p.scdn.co/mp3-preview/41f03ab99969aaf0bd8dc43a16aa3c9aec6ccc3c?cid=774b29d4f13844c495f206cafdad9c86,The Killers,Smile Like You Mean It,pop rock
d69afef3e8ec193342e91c82fe98183b,01gGZKbc2EXSZCrk3g9nHJ,https://p.scdn.co/mp3-preview/ff29ded2c1aa87ed04cb15ea9b1819dc4db95ad7?cid=774b29d4f13844c495f206cafdad9c86,Muse,Hysteria,rock
d72b4f8bd3c74a8b4c01dedea38c6fc1,00Ctb7lezRAv5r2xuvWbrf,https://p.scdn.co/mp3-preview/c808e35b385571cbda7ccf893c9c568b83a0390d?cid=774b29d4f13844c495f206cafdad9c86,The Fray,How to Save a Life,pop rock calm
70611c465422d9513e8a31a5176daf06,05Qx9LldOSaPBOQrjRi4GC,https://p.scdn.co/mp3-preview/197da975d380b7b1f7e8eb3b53abac0b774a6d5e?cid=774b29d4f13844c495f206cafdad9c86,Vampire Weekend,A-Punk,pop rock
b6abdc8b46cbf9993ec25fef302314aa,0t1vLylQONATsTDwVIIwtw,https://p.scdn.co/mp3-preview/720ad0b60a24b6be93a8c6b42723b1e503affdb2?cid=774b29d4f13844c495f206cafdad9c86,Foo Fighters,Best of You,rock
42134c1b429e442063b4bb817bd258ce,2qdRHMosT8YO3zfEJQXHsW,https://p.scdn.co/mp3-preview/125a819ae02f496c47ed8a9d956f9f6b1aad9349?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,In Bloom,rock
55c5013a12d18c609202c7aaeaa8f871,01Y6Ruj8IP2zvXfXjvlcTs,https://p.scdn.co/mp3-preview/97260c7421b96a48e0712bd0f1f79e4c49e33acc?cid=774b29d4f13844c495f206cafdad9c86,Joy Division,Love Will Tear Us Apart,rock
bf6763b6a2fcb7772cf14521f343d171,0A9NRug5YgRpwKBbcaovYH,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=774b29d4f13844c495f206cafdad9c86,Journey,Don't Stop Believin',rock
80f35767d17864981850c9c68d6f8a98,13hsNLxj4Q6E8b5Yg1IquK,https://p.scdn.co/mp3-preview/83703b4cc3b487fa0773635bb98def1b7fc89cb0?cid=774b29d4f13844c495f206cafdad9c86,The Strokes,Someday,rock
bd53393c49e13c92cb61d88c11d2288c,0MbCcvzLYu3xq6OgEkSbhC,https://p.scdn.co/mp3-preview/18d587e6cdcd4e7f652604097d13c69d9acd2e46?cid=774b29d4f13844c495f206cafdad9c86,Coldplay,Don't Panic,pop rock calm
48b2490fbf0dda96420148cc100bd124,1hwJKpe0BPUsq6UUrwBWTw,https://p.scdn.co/mp3-preview/439804a8cc76ae7d380ae25d86ad9a4b314eae98?cid=774b29d4f13844c495f206cafdad9c86,Green Day,Boulevard of Broken Dreams,rock
df4286cac21e91b4c4c70c8bacffa977,08mG3Y1vljYA6bvDt4Wqkj,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=774b29d4f13844c495f206cafdad9c86,AC/DC,Back in Black,metal rock
c9c615a0b6488f3b1d35cad87e609304,0O4Yt3iHNIZGFE3uhFLu6I,https://p.scdn.co/mp3-preview/c03e9a790d1df252f12e33e997ebe338aefb8ee7?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,About a Girl,rock
67aecd5986f6a8b933a4bf78c46d8ef4,1Urf1M52P3R6NYdAOJizoW,https://p.scdn.co/mp3-preview/0d741d740ea0e449057d326439a47e974447e86d?cid=774b29d4f13844c495f206cafdad9c86,Modest Mouse,Float On,pop rock
c7d253e250b7a24bba54078d8dcb307b,00zmBA9YVd5z3ptHFIMGlL,https://p.scdn.co/mp3-preview/fbc615fe752212b7fd65fd82e7fa1eb8519b7e09?cid=774b29d4f13844c495f206cafdad9c86,Evanescence,Bring Me to Life,metal rock
12b5f898d07b6dc1ec0461d46b7669c6,3ZOEytgrvLwQaqXreDs2Jx,https://p.scdn.co/mp3-preview/076f7d75404dfd18964d60da63d1855b192f3e62?cid=774b29d4f13844c495f206cafdad9c86,Red Hot Chili Peppers,Can't Stop,rock
529762294d2f13d13f6dc36ed27c8a5f,03YDy08NY89fQZzhobPz0x,https://p.scdn.co/mp3-preview/c8e6c9aaf0895fd390e85761f307e63f531fdd7e?cid=774b29d4f13844c495f206cafdad9c86,Maroon 5,She Will Be Loved,pop rock
cd1b303df4dda5f45c61cadfadc4fc24,0nLiqZ6A27jJri2VCalIUs,https://p.scdn.co/mp3-preview/d6e626f0c7bdf60ce42fff46bc4550596a5fb487?cid=774b29d4f13844c495f206cafdad9c86,Metallica,Nothing Else Matters,metal rock
a3efd1753f3064b952aab05c5b8ccc7e,0LobJmDKU8e8oOJVwIOl55,https://p.scdn.co/mp3-preview/7e77dcdb69fc57950e0776d78397863bb91cfffd?cid=774b29d4f13844c495f206cafdad9c86,Guns N' Roses,Paradise City,metal rock
ea6192903423c31ac4e8921b0a2bfade,0itk18Y362KvHpXVwcF6yG,https://p.scdn.co/mp3-preview/798e1e21d3f6f76430feb5291e6bb608c9484fe9?cid=774b29d4f13844c495f206cafdad9c86,The Kooks,Naïve,rock
0c8abbd85654db83c09fad1218faa290,09LoXTH3aa72YWMMYkPtKT,https://p.scdn.co/mp3-preview/d304ea35aada75a163b7cf6eeb4fddb6090b76de?cid=774b29d4f13844c495f206cafdad9c86,Coldplay,Trouble,pop rock
2edcbf95376303e5017d6143c851fa83,0M1MFIuPCxRitJ4lF7q3tx,https://p.scdn.co/mp3-preview/e152576c5affbc6d08bb5b67ff0f4d18e29914ce?cid=774b29d4f13844c495f206cafdad9c86,Coldplay,In My Place,pop rock
3f989397a64ed74d6eb54254c8d9b5e8,063ZwzDTRdyhMa4mKqpfnv,https://p.scdn.co/mp3-preview/7c75e26bfc6cddd2c87a55ccb5e7e765607c3706?cid=774b29d4f13844c495f206cafdad9c86,Queens of the Stone Age,No One Knows,rock
65da9d56e8be53838fb0fc6115b28f8b,11Tm0hw3DDF1gqU0kSEwiC,https://p.scdn.co/mp3-preview/06f5dbdf848611605f68fc1e60c92d1cf12db93a?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,Rape Me,rock
4b37b52914aa9f04bf017904eafbccaa,0xHch89AN9RlN8Nm4kJzs3,https://p.scdn.co/mp3-preview/360148780dc61c6f6b07b82f10e7521a07e864ce?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,Polly,rock acoustic
8fbdc847bca8f954c985eba016cf1ff0,1jHhOrH4kIhjLFvagzvw1s,https://p.scdn.co/mp3-preview/88a729f6865d2c72c481d5a543d4bcb302310414?cid=774b29d4f13844c495f206cafdad9c86,Johnny Cash,Hurt,rock acoustic
f785813edb434fe8860ae35761106ce2,0LNkoLBBuDYHc5OKY2bOvx,https://p.scdn.co/mp3-preview/7cc39826315239401b8bac4317c14c35ecdbcd58?cid=774b29d4f13844c495f206cafdad9c86,Radiohead,High and Dry,rock acoustic
abbb7e8e70a1c3f14df2202fdf78610d,0cs7BfenkAuxTVJv96KMme,https://p.scdn.co/mp3-preview/0185e782194fa2fecba88d96ad9afb4fff8d6406?cid=774b29d4f13844c495f206cafdad9c86,The Postal Service,Such Great Heights,pop rock edm
0b84b6d5a61c6b2d11f2a7174ce966d0,0gNQKJ5uTPeuxF2iVJAUAc,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,Arctic Monkeys,Mardy Bum,rock
e1e2f6532a15391984174257baed89e3,045sp2JToyTaaKyXkGejPy,https://p.scdn.co/mp3-preview/9f661dae7578998a5817c65210ff23fbfa1a0c74?cid=774b29d4f13844c495f206cafdad9c86,Radiohead,Fake Plastic Trees,rock
fa0abad79e09775a0f2e4dbd79097a8c,0lxt6J01WBpovNFVF87Yqa,https://p.scdn.co/mp3-preview/8c8ad07b76cc1cbefa763a3bf0c2db8356709ab7?cid=774b29d4f13844c495f206cafdad9c86,The Cure,Friday I'm in Love,pop rock
d095f1d95c273e3890898b02727fb4f8,00I3Ty0pd83FWrPufrF03P,https://p.scdn.co/mp3-preview/56c87d16c2f7514de3887a75e1084849b4f33198?cid=774b29d4f13844c495f206cafdad9c86,Lynyrd Skynyrd,Sweet Home Alabama,rock
97e837d715b21fec10d518401547dcb2,01j1O6jiZu0orntoBfr46j,https://p.scdn.co/mp3-preview/368d8aeca58fe638f73b7f743efe6e02ae349bc8?cid=774b29d4f13844c495f206cafdad9c86,Keane,Somewhere Only We Know,pop rock
241c6bf46f60b54a9bfe47e8ff3a975d,0mIllpvSLn6pEgBNTkCmKX,https://p.scdn.co/mp3-preview/86ee8e73aa2c439b7f772e939c5c5f542dca32d1?cid=774b29d4f13844c495f206cafdad9c86,Maroon 5,This Love,pop rock
56c2cd26ef52608edb412d0799a95555,01RwTeAXv45ctd6r12ZMfz,https://p.scdn.co/mp3-preview/1c736c39b560f1ad7a6c1358ee61758bbf92a078?cid=774b29d4f13844c495f206cafdad9c86,blink-182,I MISS YOU,rock
834233a1580d60acd7648321b2a131f3,0dgwXPvMBoEtA4iljLy0zY,https://p.scdn.co/mp3-preview/5b82274e20e152fa933b2ce8db18aa5120e0bd1a?cid=774b29d4f13844c495f206cafdad9c86,Oasis,Don't Look Back in Anger,rock
ab0c9016b3d31c772c749ebaf5500769,1CAPtD2FgB23xGewa3nqkg,https://p.scdn.co/mp3-preview/739f1ff67c5b9a416d7a1136c2e15b53a67bdce9?cid=774b29d4f13844c495f206cafdad9c86,Coldplay,Speed of Sound,pop rock
83582c341631465177212c5b8b069829,1OdO2milIwmQTkIkLZyPo0,https://p.scdn.co/mp3-preview/d8f685ff9b50f2f6f7672fc86642df000b195481?cid=774b29d4f13844c495f206cafdad9c86,The Doors,Break on Through (to the Other Side),rock
a3382c1f3c27f6078ae855a896c92528,0AG5b5RfnsTUmKWni1WrVT,https://p.scdn.co/mp3-preview/182be4ef37fdfa43e0e0f39d1851a48189512d23?cid=774b29d4f13844c495f206cafdad9c86,3 Doors Down,Here Without You,rock
c5b9880bd3a56a1114989f85d453d501,1g2jNfuMJhDLVBysg0HNf3,https://p.scdn.co/mp3-preview/6ea35c0521ab0de6cddba222138e578039410b5e?cid=774b29d4f13844c495f206cafdad9c86,Gorillaz,DARE,pop rock edm hip_hop
96af02c6eef2a1d6f04e9f2404abb97b,00akIMQYqZtMOq20xIOQId,https://p.scdn.co/mp3-preview/7dfd9e00e578f29f88afb25c42511e3c42893524?cid=774b29d4f13844c495f206cafdad9c86,Soundgarden,Black Hole Sun,rock
69a92798becee834acff97464efc455a,00C4IJWpY3k2cmo7dHuSs1,https://p.scdn.co/mp3-preview/a00a90236f87d059c5a9ff481680a29f7a60e8bb?cid=774b29d4f13844c495f206cafdad9c86,Dire Straits,Sultans of Swing,rock
0a438df8494da1ac91ce631fffc84b2e,0ibKC39pfwJSXY6ZNSbmJN,https://p.scdn.co/mp3-preview/c105fe344eed632ebb72a1a0ed8efcfb5a47c6ff?cid=774b29d4f13844c495f206cafdad9c86,Queen,Another One Bites the Dust,rock
a034a33a4ae391c26c5a4ca90bd9e874,0mWiuXuLAJ3Brin3Or2x6v,https://p.scdn.co/mp3-preview/371ecdede3dda7f49d04ba01ee7c6087abd31e79?cid=774b29d4f13844c495f206cafdad9c86,Foo Fighters,Learn to Fly,rock
749ef7d80407f8c5028e8f6d8e8ad255,0cb0Ks7AHEG2WojvmxBf1x,https://p.scdn.co/mp3-preview/785242ace267b27c97483eb51c5a0c6a54807611?cid=774b29d4f13844c495f206cafdad9c86,3 Doors Down,Kryptonite,rock
d9aa47fcf58332605d70369705cf99bf,0A5RHEjtrDchA1mo0lKpGB,https://p.scdn.co/mp3-preview/d7624ec5f93b6d92c1836a95c40ecce463584f6e?cid=774b29d4f13844c495f206cafdad9c86,Muse,Knights of Cydonia,rock
7c1da5cd0322be4054bb58d2dce304f2,07k45oBi6TbbwB2fxCcGl5,https://p.scdn.co/mp3-preview/da67866af09b9906c4f828eb9dd18719e9655e97?cid=774b29d4f13844c495f206cafdad9c86,Imagine Dragons,Radioactive,rock
ab66e337e4cc967de004af8b7691e55d,11TzbZ0cfUxq0SWYq2UaLL,https://p.scdn.co/mp3-preview/d008da9166a3cbb6022aa34498c051a84dfed8b1?cid=774b29d4f13844c495f206cafdad9c86,Paramore,Misery Business,pop rock
6c4415eafeb2b6a724450c972dc91202,0bCdJzPO8jzme0oCAtIZxr,https://p.scdn.co/mp3-preview/f0e6e6d1835303097ef22037f333f8c057463146?cid=774b29d4f13844c495f206cafdad9c86,Jet,Are You Gonna Be My Girl,rock
136143943fd1ebfe40a53ba59aa97a1c,0rWZLMLDOFn7xAtwJrGDuj,https://p.scdn.co/mp3-preview/a83eedd6b982d4afdc2ceaeb458f471118ad78aa?cid=774b29d4f13844c495f206cafdad9c86,Green Day,Wake Me Up When September Ends,rock
4836dad5269b9d30c2e1c346700de086,1zfcJIw2XkBoBSOzLDbiM5,https://p.scdn.co/mp3-preview/dd2111a218b3007e3e23a6be300a87f02aee045a?cid=774b29d4f13844c495f206cafdad9c86,The Strokes,Last Nite,rock
e6ca454104a35696e0d9832265379b9a,0Bb6Ew55idKQ8IYTiQNnKy,https://p.scdn.co/mp3-preview/ef80e817943da1bdccd7984a12a3539d3db66e43?cid=774b29d4f13844c495f206cafdad9c86,Nirvana,All Apologies,rock
